running_num	fish_id	id_date	common_name	length	id_notes
361	G.F.BF.02.027	3/27/2019	silverside	61	
362	G.F.BF.02.028	3/27/2019	silverside	53	
363	G.F.BF.02.029		silverside	55	
364	G.F.BF.02.030		silverside	57	
365	G.F.BF.02.031		silverside	58	
366	G.F.BF.02.032		silverside	61	
367	G.F.BF.02.033		silverside	68	
368	G.F.BF.02.034		silverside	56	
369	G.F.BF.02.035		silverside	65	
370	G.F.BF.03.031		silverside	29	
371	G.F.BF.03.032		silverside	30	
372	G.F.BF.03.033		silverside	33	
373	G.F.BF.03.034		silverside	42	
374	G.F.BF.03.035		silverside	30	
375	G.F.BF.03.036		silverside	34	
376	G.F.BF.03.037		silverside	33	
377	G.F.BF.03.038		silverside	29	
378	G.F.BF.03.039		silverside	24	
379	G.F.BF.03.040		silverside	20	
380	G.F.BF.03.041		silverside	40	
381	G.F.BF.03.042		silverside	44	
382	G.F.BF.03.043		silverside	44	
383	G.F.BF.03.044		silverside	43	
384	G.F.BF.03.045		silverside	39	
385	G.F.BF.03.046		silverside	48	
386	G.F.BF.03.047		silverside	50	
387	G.F.LV.01.009		silverside	42	
388	G.F.LV.01.010		silverside	46	
389	G.F.LV.01.011		silverside	36	
390	G.F.LV.01.012		silverside	29	
391	G.F.LV.01.013		silverside	33	
392	G.F.LV.01.014		silverside	52	
393	G.F.LV.01.015		silverside	52	
394	G.F.LV.01.016		silverside	45	
395	G.F.LV.01.017		silverside	42	
396	G.F.LV.01.018		silverside	38	
397	G.F.LV.01.019		silverside	42	
398	G.F.LV.01.020		silverside	50	
399	G.F.LV.01.021		silverside	50	
400	G.F.LV.01.022		silverside	36	
401	G.F.LV.01.023		silverside	43	
402	G.F.LV.01.024		silverside	48	
403	G.F.LV.01.025		silverside	33	
404	G.F.LV.01.026		silverside	32	
405	G.F.LV.01.027		silverside	42	
406	G.F.LV.01.028		silverside	36	
407	G.F.LV.01.029		silverside	38	
408	G.F.LV.01.030		silverside	33	
409	G.F.LV.01.031		silverside	33	
410	G.F.LV.01.032		silverside	53	
411	G.F.LV.01.033		silverside	32	
412	G.F.LV.01.034		silverside	41	
413	G.F.LV.01.035	4/8/2019	bay anchovy	29	
414	G.F.LV.01.036	4/8/2019	bay anchovy	34	
